Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9866,0.9999055654875669,0.9867274483665363,0.9861186364278985,0.9863263388691754,0.9967,0.9989,0.9997,1.0,1.0
0.979,0.9998729429418025,0.9803623093314702,0.9789775055864609,0.9792031306260351,0.995,0.9987,1.0,1.0,1.0
0.9892,0.9998418886266609,0.9893665998663455,0.9891926000032267,0.9891873445428949,0.9981,0.9997,1.0,1.0,1.0
0.991,0.9998912901994506,0.9910257922643009,0.9910455306957479,0.991000219180248,0.9988,0.9997,1.0,1.0,1.0
0.9917,0.9999161258396968,0.9917466273239759,0.9916094191278105,0.991644401250157,0.9985,0.9997,1.0,1.0,1.0
0.9928,0.999880783290818,0.9929683630257868,0.9926987476428708,0.9928092579757637,0.9992,0.9995,0.9999,1.0,1.0
0.9849,0.9995975158945524,0.9851401138245486,0.9845490005905038,0.9847389818012235,0.9974,0.9995,1.0,1.0,1.0
0.9916,0.9998415114965291,0.9920078203610292,0.9915690945763844,0.9917406834298221,0.9983,0.9992,0.9999,1.0,1.0
0.9911,0.999880595607578,0.9910337679349046,0.9912460507973874,0.9911243954510391,0.9984,0.9994,0.9999,1.0,1.0
0.9928,0.9998363184264638,0.9928957915190763,0.9926743566814494,0.9927642824633155,0.9993,0.9998,1.0,1.0,1.0
