Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9566,0.9985255605643696,0.955898145552711,0.9559637572484654,0.9558637793378791,0.9867,0.9953,0.9989,0.9999,1.0
0.9666,0.9990470916593404,0.9659374814800976,0.966004724488338,0.9659453340223048,0.9905,0.9969,0.9992,0.9999,1.0
0.9693,0.9992296506466755,0.9687346670282375,0.9687370297988702,0.9686322585156917,0.9911,0.9976,0.9994,0.9998,1.0
0.9716,0.9993347294765786,0.9711283185420246,0.9711671911822519,0.9710899669244087,0.993,0.9979,0.9994,0.9999,1.0
0.9729,0.9994130724225209,0.9726586396987876,0.9722366162878945,0.9723911001201617,0.9937,0.9979,0.9995,0.9999,1.0
0.975,0.9994516513738136,0.9744877050777975,0.9745950462501526,0.9744560174901841,0.9936,0.9979,0.9994,0.9998,1.0
0.9767,0.999471831901273,0.97645962211413,0.9761419966588416,0.9762394999578439,0.9937,0.9981,0.9992,0.9999,1.0
0.9757,0.9994998338899425,0.9751802693293588,0.9753759485816274,0.975219136526613,0.9938,0.9981,0.9993,0.9999,1.0
0.9753,0.9994884300396591,0.9747718391505182,0.9750845718921892,0.9747864543800544,0.9935,0.9978,0.9994,0.9999,1.0
0.9772,0.9995489272800082,0.9769780001036239,0.9766498653338193,0.9767120636625707,0.9951,0.9983,0.9993,0.9999,1.0
