Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.928,0.9958252686733985,0.9317953885639035,0.92312876550043,0.9211887338884417,0.9812,0.9947,0.9993,0.9998,1.0
0.9653,0.9988754199534605,0.9648633624232982,0.9642412705365168,0.964446032370527,0.9914,0.9969,0.9994,0.9998,1.0
0.9672,0.9990446568376854,0.9665260222268411,0.9667508203083658,0.9665000003432034,0.9929,0.9974,0.9994,0.9997,1.0
0.9727,0.9991707023069364,0.9724373431333762,0.9718831501970279,0.9720776742712858,0.9939,0.9981,0.9996,0.9998,1.0
0.9717,0.9992399428274136,0.9716262275679638,0.9708210511413082,0.9710769994813621,0.9939,0.9976,0.9996,0.9998,1.0
0.9733,0.9993025261887702,0.9728535538643259,0.9726885005220975,0.9726854450177427,0.9945,0.998,0.9996,0.9998,1.0
0.9734,0.9993241904875904,0.9734601767474469,0.972593574495893,0.9728752650317251,0.9941,0.9976,0.9995,0.9998,1.0
0.9753,0.9993811989866477,0.9746264803615177,0.9748460688888869,0.9746989862859288,0.9938,0.9981,0.9993,0.9998,1.0
0.9756,0.9993750924333625,0.9751037507141509,0.975160728862871,0.9750755537957145,0.9949,0.9985,0.9996,0.9998,1.0
0.9753,0.9994013950999009,0.9748262044139964,0.9747461961070831,0.9747499765521417,0.9949,0.9983,0.9994,0.9998,1.0
