Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9313,0.9966128944444445,0.9313398063692739,0.9313,0.9312144915837944,0.981,0.9924,0.9979,0.9996,0.9999
0.937,0.997053461111111,0.9369385723771331,0.937,0.9369082509723453,0.9826,0.9931,0.998,0.9996,0.9999
0.9383,0.9971461944444445,0.9385263095340989,0.9383000000000001,0.9383381108759888,0.9838,0.9938,0.9986,0.9995,0.9998
0.9397,0.9973227555555555,0.9400026107007895,0.9397,0.9396644986004035,0.9848,0.9934,0.9982,0.9994,0.9999
0.9416,0.9973465444444445,0.9421462685946997,0.9416,0.9417262657709866,0.9838,0.9942,0.9984,0.9995,0.9999
0.9442,0.9974417111111109,0.944441357096674,0.9442,0.9442476126718452,0.9847,0.9943,0.9983,0.9996,0.9999
0.9427,0.9974495055555553,0.9427878019904089,0.9427,0.9427017526978039,0.9842,0.9935,0.9986,0.9996,0.9999
0.9427,0.9974556277777776,0.9430204710631915,0.9427,0.9427690534975259,0.984,0.9938,0.9987,0.9996,0.9999
0.9424,0.9974584277777776,0.9424693759314119,0.9423999999999999,0.9424062792315668,0.9835,0.9932,0.9984,0.9993,0.9999
0.9416,0.9974440833333332,0.941739585051437,0.9416,0.9416234612134378,0.9838,0.9934,0.9986,0.9994,0.9999
