Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy,TOP-15 Accuracy,TOP-30 Accuracy
0.29168646080760097,0.6685134236673789,0.09659981596440353,0.13408118743406913,0.0812698105278012,0.3900237529691211,0.44038004750593823,0.5116389548693586,0.5401425178147269,0.5729216152019002,0.7344418052256532,0.8978622327790974
0.36864608076009503,0.6715328702069703,0.12495983121845718,0.17496003440442268,0.12130511313961571,0.4622327790973872,0.5078384798099762,0.5534441805225653,0.568646080760095,0.5771971496437055,0.7482185273159145,0.896437054631829
0.4190023752969121,0.6786540936391767,0.12573140423825618,0.20224536400572804,0.14761427208210331,0.5040380047505938,0.534916864608076,0.5648456057007126,0.5767220902612826,0.5938242280285035,0.7539192399049881,0.891686460807601
0.4503562945368171,0.6811266759944516,0.14978620927846498,0.21857697105725418,0.16946399577804763,0.5282660332541568,0.566270783847981,0.5928741092636579,0.6104513064133017,0.6166270783847981,0.7453681710213776,0.8907363420427553
0.4669833729216152,0.6853288368245574,0.14818105656216182,0.23091359954504548,0.17482963861929776,0.5330166270783848,0.5648456057007126,0.5971496437054632,0.6128266033254157,0.6270783847980997,0.7534441805225653,0.891686460807601
0.47458432304038006,0.6860593518799867,0.16863740392309692,0.23580523217934743,0.18323663131779974,0.5439429928741093,0.5752969121140142,0.6156769596199525,0.6332541567695962,0.645605700712589,0.7515439429928741,0.8902612826603326
0.48931116389548696,0.6884043646183633,0.1673466867515439,0.24466509257510263,0.19119508362581455,0.5534441805225653,0.585748218527316,0.624228028503563,0.6399049881235155,0.6470308788598574,0.7553444180522565,0.8902612826603326
0.4935866983372922,0.6904454712939553,0.1687044672815965,0.24572156710832144,0.19326379843600086,0.563895486935867,0.5947743467933492,0.6280285035629454,0.6418052256532066,0.6465558194774347,0.7553444180522565,0.8888361045130642
0.49073634204275535,0.6912793661361506,0.16970220768385183,0.24577383654431173,0.19357001883478017,0.5624703087885986,0.5971496437054632,0.6304038004750594,0.6418052256532066,0.6470308788598574,0.752019002375297,0.8878859857482185
0.4983372921615202,0.6917302898084187,0.1748223700723107,0.24864802403528388,0.19890629003208984,0.5729216152019002,0.6061757719714964,0.6327790973871734,0.6475059382422803,0.6551068883610451,0.7030878859857482,0.8874109263657958
