Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9499,0.9981870166666665,0.9504635509655982,0.9499000000000001,0.9499736999795951,0.9892,0.9952,0.9986,0.9996,0.9999
0.9584,0.9983787722222223,0.9589476918455275,0.9583999999999998,0.9583909916070856,0.9907,0.9963,0.9987,0.9996,1.0
0.9473,0.996504238888889,0.9532653640801824,0.9472999999999999,0.9480240892310589,0.9873,0.994,0.9981,0.9993,1.0
0.9483,0.9975918388888887,0.9522540037678153,0.9483,0.9489184993755183,0.9873,0.993,0.9979,0.9997,1.0
0.9518,0.9982614388888887,0.953804468133215,0.9517999999999999,0.9517587675815811,0.9889,0.9945,0.9982,0.9992,0.9997
0.9633,0.9981993777777777,0.9634796900472005,0.9632999999999999,0.9632404338711262,0.9911,0.9956,0.9987,0.9993,0.9998
0.9618,0.9983165611111109,0.9621927572628998,0.9618,0.9617069762363352,0.9898,0.9949,0.9985,0.9995,0.9999
0.9635,0.9983979833333333,0.9637308351829568,0.9635,0.9635084132102012,0.9895,0.996,0.9986,0.9994,1.0
0.9597,0.99824,0.9602194149260012,0.9597,0.9598104284714898,0.9908,0.9959,0.9986,0.9998,0.9999
0.968,0.9985108388888891,0.9683341482626903,0.968,0.9680243619782972,0.9931,0.9961,0.9989,0.9996,0.9998
