,model,n_components,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24
0,ViTl16,3,"75.6%
(1, 0, 0)
(1, 0, 0)","45.7%
(2, 2, 1)
(2, 2, 1)","44.7%
(2, 1, 1)
(2, 1, 1)","43.2%
(2, 1, 1)
(2, 1, 1)","40.4%
(2, 12, 15)
(2, 12, 15)","39.5%
(2, 1, 1)
(2, 1, 1)","39.8%
(3, 2, 6)
(3, 2, 6)","39.9%
(3, 5, 1)
(3, 5, 1)","40.3%
(3, 1, 5)
(3, 1, 5)","39.8%
(2, 1, 1)
(2, 1, 1)","39.1%
(3, 1, 3)
(3, 1, 3)","77.6%
(1, 0, 0)
(1, 0, 0)","38.2%
(3, 3, 1)
(3, 3, 1)","38.9%
(3, 1, 1)
(3, 1, 1)","39.0%
(3, 4, 1)
(3, 4, 1)","39.3%
(3, 1, 3)
(3, 1, 3)","39.3%
(3, 1, 3)
(3, 1, 3)","75.6%
(1, 0, 0)
(1, 0, 0)","67.4%
(1, 0, 0)
(1, 0, 0)","60.5%
(2, 1, 0)
(2, 1, 0)","51.3%
(2, 1, 1)
(2, 1, 1)","47.7%
(3, 3, 1)
(3, 3, 1)","48.0%
(2, 1, 2)
(2, 1, 2)","47.3%
(2, 1, 1)
(2, 1, 1)"
1,ViTl16,4,"82.1%
(1, 0, 0, 0)
(1, 0, 0, 0)","52.2%
(3, 2, 1, 1)
(3, 2, 1, 1)","50.9%
(3, 2, 3, 1)
(3, 2, 3, 1)","49.5%
(3, 2, 6, 3)
(3, 2, 6, 3)","46.1%
(3, 2, 1, 2)
(3, 2, 1, 2)","45.4%
(3, 1, 1, 1)
(3, 1, 1, 1)","45.6%
(3, 1, 2, 1)
(3, 1, 2, 1)","45.6%
(3, 1, 1, 1)
(3, 1, 1, 1)","45.9%
(3, 5, 4, 1)
(3, 5, 4, 1)","45.3%
(3, 1, 3, 1)
(3, 1, 3, 1)","44.5%
(3, 4, 3, 4)
(3, 4, 3, 4)","81.1%
(1, 0, 0, 0)
(1, 0, 0, 0)","43.4%
(3, 1, 17, 3)
(3, 1, 17, 3)","44.4%
(3, 2, 6, 2)
(3, 2, 6, 2)","44.5%
(3, 2, 2, 1)
(3, 2, 2, 1)","44.7%
(3, 2, 2, 1)
(3, 2, 2, 1)","44.7%
(3, 2, 2, 1)
(3, 2, 2, 1)","78.4%
(1, 0, 0, 0)
(1, 0, 0, 0)","71.7%
(1, 0, 0, 0)
(1, 0, 0, 0)","66.1%
(2, 1, 0, 0)
(2, 1, 0, 0)","56.8%
(2, 1, 1, 0)
(2, 1, 1, 0)","53.7%
(3, 1, 1, 0)
(3, 1, 1, 0)","54.2%
(6, 1, 1, 0)
(6, 1, 1, 0)","53.6%
(2, 1, 1, 1)
(2, 1, 1, 1)"
2,ViTl16,5,"85.6%
(1, 1, 0, 0, 0)
(1, 1, 0, 0, 0)","56.9%
(4, 1, 1, 2, 1)
(4, 1, 1, 2, 1)","55.6%
(7, 1, 15, 8, 0)
(7, 1, 15, 8, 0)","54.2%
(3, 5, 2, 1, 0)
(3, 5, 2, 1, 0)","51.6%
(3, 10, 8, 1, 0)
(3, 10, 8, 1, 0)","50.6%
(3, 2, 3, 3, 0)
(3, 2, 3, 3, 0)","50.6%
(3, 2, 1, 8, 0)
(3, 2, 1, 8, 0)","50.4%
(3, 1, 1, 2, 0)
(3, 1, 1, 2, 0)","50.7%
(3, 3, 1, 2, 0)
(3, 3, 1, 2, 0)","50.0%
(3, 2, 5, 1, 0)
(3, 2, 5, 1, 0)","49.2%
(3, 2, 4, 1, 0)
(3, 2, 4, 1, 0)","83.6%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","48.2%
(3, 1, 1, 2, 0)
(3, 1, 1, 2, 0)","49.1%
(3, 1, 6, 2, 0)
(3, 1, 6, 2, 0)","49.2%
(3, 1, 1, 1, 0)
(3, 1, 1, 1, 0)","49.4%
(3, 2, 2, 5, 0)
(3, 2, 2, 5, 0)","49.4%
(3, 2, 2, 5, 0)
(3, 2, 2, 5, 0)","81.1%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","75.6%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","70.4%
(3, 1, 0, 0, 0)
(3, 1, 0, 0, 0)","61.2%
(2, 2, 1, 0, 0)
(2, 2, 1, 0, 0)","58.7%
(2, 1, 1, 1, 0)
(2, 1, 1, 1, 0)","59.3%
(2, 1, 1, 1, 0)
(2, 1, 1, 1, 0)","58.1%
(2, 4, 10, 4, 0)
(2, 4, 10, 4, 0)"
3,ViTb32,3,"63.2%
(1, 0, 0)
(1, 0, 0)","43.1%
(1, 0, 0)
(1, 0, 0)","44.5%
(1, 0, 0)
(1, 0, 0)","63.2%
(1, 2, 0)
(1, 2, 0)","67.7%
(1, 0, 0)
(1, 0, 0)","62.8%
(1, 0, 0)
(1, 0, 0)","61.8%
(1, 0, 0)
(1, 0, 0)","60.3%
(1, 0, 0)
(1, 0, 0)","58.6%
(1, 0, 0)
(1, 0, 0)","52.8%
(1, 0, 0)
(1, 0, 0)","49.8%
(1, 0, 0)
(1, 0, 0)","45.5%
(1, 0, 0)
(1, 0, 0)",,,,,,,,,,,,
4,ViTb32,4,"71.2%
(1, 0, 0, 0)
(1, 0, 0, 0)","49.7%
(1, 1, 0, 0)
(1, 1, 0, 0)","51.3%
(1, 2, 0, 0)
(1, 2, 0, 0)","67.6%
(2, 3, 1, 0)
(2, 3, 1, 0)","73.4%
(1, 0, 0, 0)
(1, 0, 0, 0)","68.4%
(1, 0, 0, 0)
(1, 0, 0, 0)","66.1%
(1, 0, 0, 0)
(1, 0, 0, 0)","65.1%
(1, 0, 0, 0)
(1, 0, 0, 0)","63.1%
(1, 0, 0, 0)
(1, 0, 0, 0)","58.8%
(1, 0, 0, 0)
(1, 0, 0, 0)","55.6%
(1, 0, 0, 0)
(1, 0, 0, 0)","51.3%
(1, 1, 0, 0)
(1, 1, 0, 0)",,,,,,,,,,,,
5,ViTb32,5,"77.4%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","53.8%
(7, 5, 0, 0, 0)
(7, 5, 0, 0, 0)","55.5%
(3, 1, 0, 0, 0)
(3, 1, 0, 0, 0)","70.4%
(2, 3, 2, 0, 0)
(2, 3, 2, 0, 0)","77.0%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","70.9%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","69.9%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","68.0%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","66.2%
(1, 0, 0, 0, 0)
(1, 0, 0, 0, 0)","63.4%
(2, 1, 0, 0, 0)
(2, 1, 0, 0, 0)","60.2%
(2, 1, 0, 0, 0)
(2, 1, 0, 0, 0)","55.9%
(2, 8, 0, 0, 0)
(2, 8, 0, 0, 0)",,,,,,,,,,,,
6,ResNet34,3,"33.9%
(8, 3, 2)
(8, 3, 2)","34.8%
(2, 4, 1)
(2, 4, 1)","16.6%
(3, 3, 4)
(3, 3, 4)","16.5%
(2, 1, 3)
(2, 1, 3)","15.9%
(3, 1, 2)
(3, 1, 2)","15.8%
(2, 1, 1)
(2, 1, 1)","20.5%
(2, 3, 1)
(2, 3, 1)","21.4%
(3, 3, 1)
(3, 3, 1)","21.8%
(2, 2, 1)
(2, 2, 1)","34.8%
(3, 1, 5)
(3, 1, 5)","34.2%
(6, 2, 1)
(6, 2, 1)","29.8%
(3, 2, 1)
(3, 2, 1)","28.1%
(3, 2, 3)
(3, 2, 3)","27.4%
(4, 2, 4)
(4, 2, 4)","26.4%
(2, 2, 13)
(2, 2, 13)","15.5%
(4, 5, 1)
(4, 5, 1)","16.5%
(4, 1, 5)
(4, 1, 5)",,,,,,,
7,ResNet34,4,"39.0%
(6, 1, 1, 1)
(6, 1, 1, 1)","39.8%
(2, 2, 1, 2)
(2, 2, 1, 2)","20.4%
(4, 1, 1, 1)
(4, 1, 1, 1)","20.4%
(4, 1, 16, 5)
(4, 1, 16, 5)","20.0%
(2, 4, 4, 1)
(2, 4, 4, 1)","20.0%
(2, 3, 1, 1)
(2, 3, 1, 1)","25.1%
(3, 1, 3, 2)
(3, 1, 3, 2)","26.4%
(2, 9, 6, 3)
(2, 9, 6, 3)","27.1%
(2, 5, 1, 6)
(2, 5, 1, 6)","39.4%
(5, 1, 9, 10)
(5, 1, 9, 10)","38.6%
(2, 2, 2, 1)
(2, 2, 2, 1)","33.3%
(6, 2, 2, 1)
(6, 2, 2, 1)","31.6%
(9, 3, 2, 1)
(9, 3, 2, 1)","30.7%
(2, 1, 4, 1)
(2, 1, 4, 1)","29.5%
(6, 2, 4, 3)
(6, 2, 4, 3)","19.0%
(2, 1, 3, 1)
(2, 1, 3, 1)","20.2%
(2, 2, 2, 8)
(2, 2, 2, 8)",,,,,,,
8,ResNet34,5,"43.8%
(2, 2, 2, 1, 1)
(2, 2, 2, 1, 1)","44.0%
(11, 1, 1, 1, 2)
(11, 1, 1, 1, 2)","23.7%
(2, 6, 6, 1, 1)
(2, 6, 6, 1, 1)","23.8%
(4, 5, 3, 1, 1)
(4, 5, 3, 1, 1)","23.4%
(3, 1, 1, 9, 1)
(3, 1, 1, 9, 1)","23.3%
(2, 3, 1, 6, 1)
(2, 3, 1, 6, 1)","29.2%
(3, 1, 1, 1, 0)
(3, 1, 1, 1, 0)","30.7%
(2, 4, 2, 2, 0)
(2, 4, 2, 2, 0)","32.1%
(9, 2, 1, 6, 0)
(9, 2, 1, 6, 0)","43.4%
(2, 2, 3, 12, 3)
(2, 2, 3, 12, 3)","42.3%
(2, 1, 11, 2, 4)
(2, 1, 11, 2, 4)","36.0%
(7, 1, 1, 4, 1)
(7, 1, 1, 4, 1)","34.5%
(2, 1, 1, 1, 4)
(2, 1, 1, 1, 4)","33.4%
(4, 1, 1, 7, 0)
(4, 1, 1, 7, 0)","32.0%
(3, 3, 1, 1, 0)
(3, 3, 1, 1, 0)","22.2%
(3, 2, 1, 2, 0)
(3, 2, 1, 2, 0)","23.6%
(4, 5, 1, 1, 2)
(4, 5, 1, 1, 2)",,,,,,,
