,model,n_components,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24
0,ViTl16,3,"45.8%
(3, 1, 1)
(3, 1, 1)","15.0%
(2, 1, 1)
(2, 1, 1)","14.8%
(2, 3, 1)
(2, 3, 1)","15.0%
(2, 3, 1)
(2, 3, 1)","14.5%
(2, 1, 1)
(2, 1, 1)","13.9%
(2, 2, 1)
(2, 2, 1)","13.8%
(2, 1, 4)
(2, 1, 4)","13.7%
(2, 9, 5)
(2, 9, 5)","13.5%
(2, 5, 1)
(2, 5, 1)","13.6%
(2, 609, 2)
(2, 609, 2)","13.2%
(2, 10, 1)
(2, 10, 1)","37.6%
(4, 2, 1)
(4, 2, 1)","13.0%
(2, 6, 3)
(2, 6, 3)","13.2%
(2, 1, 1)
(2, 1, 1)","13.4%
(2, 1, 5)
(2, 1, 5)","13.4%
(2, 1, 5)
(2, 1, 5)","13.4%
(2, 1, 5)
(2, 1, 5)","31.5%
(2, 1, 2)
(2, 1, 2)","27.4%
(2, 1, 1)
(2, 1, 1)","23.6%
(2, 3, 1)
(2, 3, 1)","20.7%
(2, 3, 2)
(2, 3, 2)","17.5%
(2, 4, 18)
(2, 4, 18)","16.0%
(2, 1, 2)
(2, 1, 2)","15.4%
(2, 3, 2)
(2, 3, 2)"
1,ViTl16,4,"55.0%
(4, 2, 20, 1)
(4, 2, 20, 1)","18.0%
(2, 15, 3, 1)
(2, 15, 3, 1)","17.7%
(2, 1, 1, 1)
(2, 1, 1, 1)","18.2%
(2, 5, 1, 2)
(2, 5, 1, 2)","17.7%
(13, 4, 2, 8)
(13, 4, 2, 8)","17.2%
(3, 3, 1, 1)
(3, 3, 1, 1)","17.0%
(2, 1, 1, 3)
(2, 1, 1, 3)","16.8%
(6, 1, 3, 1)
(6, 1, 3, 1)","16.7%
(5, 1, 2, 4)
(5, 1, 2, 4)","16.8%
(2, 1, 1, 3)
(2, 1, 1, 3)","16.3%
(3, 3, 1, 1)
(3, 3, 1, 1)","45.4%
(2, 2, 1, 1)
(2, 2, 1, 1)","16.2%
(3, 1, 3, 1)
(3, 1, 3, 1)","16.4%
(3, 5, 1, 10)
(3, 5, 1, 10)","16.6%
(6, 1, 11, 1)
(6, 1, 11, 1)","16.6%
(6, 1, 1, 9)
(6, 1, 1, 9)","16.6%
(6, 1, 1, 9)
(6, 1, 1, 9)","37.5%
(4, 1, 1, 4)
(4, 1, 1, 4)","32.5%
(11, 8, 4, 1)
(11, 8, 4, 1)","28.3%
(4, 4, 1, 1)
(4, 4, 1, 1)","24.9%
(2, 4, 6, 1)
(2, 4, 6, 1)","21.4%
(2, 2, 2, 26)
(2, 2, 2, 26)","19.6%
(3, 1, 3, 1)
(3, 1, 3, 1)","18.5%
(2, 3, 1, 1)
(2, 3, 1, 1)"
2,ViTl16,5,"62.9%
(2, 6, 3, 2, 2)
(2, 6, 3, 2, 2)","21.0%
(3, 1, 1, 3, 1)
(3, 1, 1, 3, 1)","20.5%
(3, 8, 1, 1, 2)
(3, 8, 1, 1, 2)","20.9%
(3, 4, 1, 1, 2)
(3, 4, 1, 1, 2)","20.4%
(2, 2, 1, 1, 1)
(2, 2, 1, 1, 1)","19.8%
(3, 1, 4, 1, 1)
(3, 1, 4, 1, 1)","19.5%
(2, 2, 3, 4, 3)
(2, 2, 3, 4, 3)","19.4%
(4, 10, 1, 2, 4)
(4, 10, 1, 2, 4)","19.3%
(6, 1, 1, 1, 1)
(6, 1, 1, 1, 1)","19.3%
(2, 6, 1, 5, 1)
(2, 6, 1, 5, 1)","18.8%
(8, 1, 2, 5, 1)
(8, 1, 2, 5, 1)","52.9%
(3, 1, 2, 3, 5)
(3, 1, 2, 3, 5)","18.7%
(2, 3, 1, 1, 1)
(2, 3, 1, 1, 1)","18.9%
(2, 1, 13, 1, 1)
(2, 1, 13, 1, 1)","19.1%
(3, 1, 1, 2, 1)
(3, 1, 1, 2, 1)","19.1%
(2, 2, 1, 3, 1)
(2, 2, 1, 3, 1)","19.1%
(2, 2, 1, 3, 1)
(2, 2, 1, 3, 1)","43.1%
(2, 6, 1, 1, 2)
(2, 6, 1, 1, 2)","37.4%
(2, 9, 1, 16, 1)
(2, 9, 1, 16, 1)","32.5%
(2, 1, 1, 1, 1)
(2, 1, 1, 1, 1)","28.4%
(4, 2, 1, 2, 7)
(4, 2, 1, 2, 7)","24.9%
(3, 1, 1, 1, 3)
(3, 1, 1, 1, 3)","22.8%
(3, 1, 1, 13, 1)
(3, 1, 1, 13, 1)","21.6%
(3, 4, 1, 2, 1)
(3, 4, 1, 2, 1)"
3,ViTb32,3,"61.5%
(4, 6, 1)
(4, 6, 1)","17.6%
(2, 10, 1)
(2, 10, 1)","23.1%
(3, 9, 2)
(3, 9, 2)","36.0%
(2, 3, 1)
(2, 3, 1)","46.0%
(2, 1, 1)
(2, 1, 1)","34.2%
(2, 8, 1)
(2, 8, 1)","31.3%
(2, 3, 0)
(2, 3, 0)","27.2%
(2, 1, 0)
(2, 1, 0)","25.8%
(3, 4, 1)
(3, 4, 1)","21.9%
(2, 1, 2)
(2, 1, 2)","16.7%
(5, 6, 1)
(5, 6, 1)","16.7%
(2, 1, 1)
(2, 1, 1)",,,,,,,,,,,,
4,ViTb32,4,"66.5%
(2, 2, 1, 0)
(2, 2, 1, 0)","21.4%
(3, 5, 1, 0)
(3, 5, 1, 0)","26.5%
(2, 8, 1, 0)
(2, 8, 1, 0)","39.7%
(2, 1, 1, 0)
(2, 1, 1, 0)","51.1%
(6, 1, 2, 0)
(6, 1, 2, 0)","39.4%
(3, 2, 6, 0)
(3, 2, 6, 0)","35.8%
(6, 1, 9, 0)
(6, 1, 9, 0)","31.6%
(2, 2, 1, 0)
(2, 2, 1, 0)","30.2%
(2, 3, 1, 0)
(2, 3, 1, 0)","25.7%
(2, 1, 1, 0)
(2, 1, 1, 0)","20.7%
(2, 1, 1, 0)
(2, 1, 1, 0)","20.5%
(2, 2, 1, 1)
(2, 2, 1, 1)",,,,,,,,,,,,
5,ViTb32,5,"71.1%
(3, 1, 2, 0, 0)
(3, 1, 2, 0, 0)","24.6%
(2, 1, 2, 2, 0)
(2, 1, 2, 2, 0)","29.6%
(3, 1, 1, 1, 0)
(3, 1, 1, 1, 0)","42.2%
(3, 1, 1, 1, 0)
(3, 1, 1, 1, 0)","55.4%
(2, 4, 1, 0, 0)
(2, 4, 1, 0, 0)","43.9%
(17, 5, 4, 1, 0)
(17, 5, 4, 1, 0)","40.1%
(2, 1, 2, 0, 0)
(2, 1, 2, 0, 0)","35.4%
(11, 2, 1, 0, 0)
(11, 2, 1, 0, 0)","33.7%
(3, 1, 6, 1, 0)
(3, 1, 6, 1, 0)","29.4%
(2, 1, 3, 0, 0)
(2, 1, 3, 0, 0)","24.0%
(3, 5, 1, 0, 0)
(3, 5, 1, 0, 0)","23.7%
(2, 3, 1, 2, 0)
(2, 3, 1, 2, 0)",,,,,,,,,,,,
6,ResNet34,3,"24.4%
(3, 7, 51)
(3, 7, 51)","20.9%
(3, 2, 2)
(3, 2, 2)","4.7%
(6, 1, 1)
(6, 1, 1)","5.7%
(4, 6, 3)
(4, 6, 3)","5.5%
(2, 1, 1)
(2, 1, 1)","6.1%
(3, 1, 1)
(3, 1, 1)","7.6%
(2, 1, 2)
(2, 1, 2)","8.6%
(2, 1, 1)
(2, 1, 1)","10.6%
(3, 2, 4)
(3, 2, 4)","20.1%
(5, 4, 2)
(5, 4, 2)","19.3%
(10, 3, 1)
(10, 3, 1)","14.7%
(3, 1, 2)
(3, 1, 2)","12.5%
(3, 1, 1)
(3, 1, 1)","12.3%
(5, 6, 7)
(5, 6, 7)","11.4%
(2, 2, 2)
(2, 2, 2)","6.1%
(2, 1, 1)
(2, 1, 1)","4.8%
(2, 2, 7)
(2, 2, 7)",,,,,,,
7,ResNet34,4,"27.4%
(7775, 7, 1, 11)
(7775, 7, 1, 11)","24.4%
(2, 2, 6, 21)
(2, 2, 6, 21)","5.6%
(2, 3, 10, 1)
(2, 3, 10, 1)","6.7%
(11, 1, 4, 2)
(11, 1, 4, 2)","6.6%
(2, 1, 2, 1)
(2, 1, 2, 1)","7.3%
(2, 8, 2, 3)
(2, 8, 2, 3)","8.9%
(2, 7, 2, 1)
(2, 7, 2, 1)","10.2%
(2, 5, 4, 1)
(2, 5, 4, 1)","13.1%
(3, 1, 8, 2)
(3, 1, 8, 2)","23.9%
(6, 4, 7, 1)
(6, 4, 7, 1)","23.0%
(2, 1, 1, 1)
(2, 1, 1, 1)","17.5%
(12, 1, 2, 1)
(12, 1, 2, 1)","15.1%
(2, 1, 6, 5)
(2, 1, 6, 5)","14.3%
(2, 1, 1, 5)
(2, 1, 1, 5)","13.3%
(3, 1, 4, 3)
(3, 1, 4, 3)","7.2%
(4, 1, 2, 2)
(4, 1, 2, 2)","5.7%
(3, 7, 2, 2)
(3, 7, 2, 2)",,,,,,,
8,ResNet34,5,"30.1%
(7978, 4, 1, 4, 1)
(7978, 4, 1, 4, 1)","27.0%
(2, 7, 2, 1, 2)
(2, 7, 2, 1, 2)","6.4%
(2, 3, 2, 24, 0)
(2, 3, 2, 24, 0)","7.7%
(2, 1, 2, 3, 0)
(2, 1, 2, 3, 0)","7.6%
(2, 5, 4, 3, 0)
(2, 5, 4, 3, 0)","8.3%
(3, 8, 2, 1, 0)
(3, 8, 2, 1, 0)","9.9%
(4, 2, 1, 2, 2)
(4, 2, 1, 2, 2)","11.4%
(2, 3, 1, 1, 0)
(2, 3, 1, 1, 0)","15.2%
(2, 4, 2, 3, 1)
(2, 4, 2, 3, 1)","26.5%
(2, 4, 2, 8, 3)
(2, 4, 2, 8, 3)","25.4%
(7958, 1, 3, 7, 1)
(7958, 1, 3, 7, 1)","19.3%
(7929, 9, 1, 1, 10)
(7929, 9, 1, 1, 10)","16.7%
(3, 1, 5, 1, 3)
(3, 1, 5, 1, 3)","15.8%
(4, 1, 1, 1, 1)
(4, 1, 1, 1, 1)","14.8%
(7889, 2, 1, 1, 3)
(7889, 2, 1, 1, 3)","8.1%
(2, 3, 1, 1, 1)
(2, 3, 1, 1, 1)","6.4%
(6, 1, 1, 1, 0)
(6, 1, 1, 1, 0)",,,,,,,
