Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy,TOP-15 Accuracy,TOP-30 Accuracy
0.5543942992874109,0.7276582299756345,0.19811442955944333,0.2768362752852136,0.2228556995626391,0.5947743467933492,0.6156769596199525,0.6299287410926366,0.6365795724465558,0.6427553444180523,0.7144893111638955,0.8902612826603326
0.5833729216152019,0.7500893167812411,0.20440826250564792,0.2924332554873505,0.23526977540989477,0.6209026128266033,0.631353919239905,0.6422802850356295,0.645605700712589,0.6479809976247031,0.7197149643705463,0.8935866983372922
0.5961995249406176,0.7594489532311227,0.20738553741866445,0.2991495831435164,0.24014997584665407,0.6270783847980997,0.6356294536817102,0.6441805225653207,0.6475059382422803,0.6494061757719715,0.7163895486935867,0.8954869358669834
0.604750593824228,0.7656509960343899,0.2120773756105532,0.30292955898163176,0.24399782455666835,0.6318289786223278,0.6389548693586699,0.6460807600950119,0.6479809976247031,0.6555819477434679,0.7220902612826603,0.8921615201900237
0.6109263657957245,0.7707608179605052,0.2120824455483952,0.30663478398918237,0.24625096110512204,0.6346793349168646,0.6394299287410926,0.6475059382422803,0.6536817102137767,0.6631828978622328,0.7244655581947743,0.894061757719715
0.6114014251781472,0.7751421551447039,0.234901660532393,0.3075976699404404,0.24994061297177092,0.6427553444180523,0.6546318289786224,0.6660332541567696,0.6703087885985748,0.6750593824228028,0.7258907363420427,0.8959619952494062
0.6356294536817102,0.7888651058369881,0.2361883564470326,0.3269873810045701,0.2694906840132714,0.6574821852731592,0.6646080760095012,0.6726840855106888,0.6769596199524941,0.6769596199524941,0.7330166270783848,0.898812351543943
0.6427553444180523,0.7908686410780819,0.23847795445972567,0.3304903248083228,0.2723055045159501,0.6603325415676959,0.6679334916864608,0.6726840855106888,0.6764845605700712,0.6774346793349169,0.7292161520190024,0.9016627078384798
0.6418052256532066,0.7945025324870275,0.23712959267267714,0.3303034838434231,0.2716396690444314,0.6598574821852732,0.6660332541567696,0.6741092636579572,0.6769596199524941,0.684085510688836,0.7315914489311164,0.9007125890736342
0.6446555819477434,0.7969597050436752,0.23679269048818877,0.3317576659942686,0.272168910963961,0.6622327790973872,0.6684085510688836,0.6745843230403801,0.6850356294536817,0.6973871733966746,0.7387173396674585,0.9007125890736342
