Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9419,0.9972257388888889,0.941969261861851,0.9418999999999998,0.9418884432603262,0.9852,0.9939,0.999,0.9996,0.9998
0.9454,0.997498611111111,0.9455955614682457,0.9454,0.9454064392841014,0.986,0.9944,0.9986,0.9995,0.9999
0.948,0.9976772333333332,0.9481786113408989,0.9479999999999998,0.9480158353313455,0.9869,0.9952,0.999,0.9995,0.9999
0.9483,0.9977497333333332,0.9485067007260749,0.9482999999999999,0.9483118035980468,0.9876,0.9953,0.9986,0.9997,0.9999
0.9507,0.997764988888889,0.951169692641755,0.9507,0.9507639473341193,0.9876,0.9952,0.9986,0.9996,1.0
0.9492,0.9977621499999999,0.9497965129912543,0.9491999999999999,0.9493310656796277,0.988,0.9955,0.9988,0.9997,0.9999
0.9502,0.9978080055555555,0.9505798006557165,0.9502,0.9502730884149446,0.9871,0.9951,0.9983,0.9993,0.9999
0.9506,0.99787325,0.9506425904799947,0.9506,0.9505946142945666,0.9873,0.9949,0.9986,0.9995,0.9999
0.9492,0.9978781500000001,0.9495501669037812,0.9491999999999999,0.9492514747628068,0.9865,0.995,0.9985,0.9995,0.9999
0.9512,0.9978441777777778,0.9514659508492276,0.9511999999999998,0.9512581454259676,0.9873,0.9947,0.9986,0.9996,0.9999
